"archivo","bytes","sha256","estado","origenes"
"Druse.Provider.MySql.dll","94720","790e92ec526ab4d7f700ad74e007a8663c42edbbf399036a9aba16b0b60d5ce0","SIN ATRIBUCION NUGET",""
"Druse.Provider.PostgreSql.dll","99328","5803ac443e598411163b32050c8601d9f38218dea06ec8e8ea831d4e45f0f07f","SIN ATRIBUCION NUGET",""
"Druse.Provider.Sqlite.dll","123904","a65c0a1f06fdd57fb6307915fae7688ad49305ebde395c568443ee58e8812330","SIN ATRIBUCION NUGET",""
"Druse.Provider.SqlServer.dll","103936","9d0b8c87e6970c1edd878fb472060d3377b13b579e55db766aa48b13cd58142f","SIN ATRIBUCION NUGET",""
"Druse.Ssh.dll","10240","10c47f66e760ab3630e0903084358b2db162e9402e15525d1b68b220f8f026da","SIN ATRIBUCION NUGET",""
"e_sqlite3.dll","1978880","b7385d722c83fb52142a00477a726723745916d22a555711ee89834c1111fb2e","HASH COINCIDE; REVISION PENDIENTE","SQLitePCLRaw.lib.e_sqlite3/2.1.12:runtimes/win-x64/native/e_sqlite3.dll"
"es/Microsoft.Data.SqlClient.resources.dll","262080","784df39369afd212158a64e6f0712facd3e690b05d93de7bb66d937aaba608dc","HASH COINCIDE; REVISION PENDIENTE","Microsoft.Data.SqlClient/7.0.2:lib/net9.0/es/Microsoft.Data.SqlClient.resources.dll"
"ExcelNumberFormat.dll","30720","d7c45b8e4e1027831e2fc8cdf941faf51d28a66feacfcaaa737da73262e7b507","HASH COINCIDE; REVISION PENDIENTE","ExcelNumberFormat/1.1.0:lib/netstandard2.0/ExcelNumberFormat.dll"
"fr/Microsoft.Data.SqlClient.resources.dll","271256","af87c8338af8416566f6d186ef32a5ca2aa0e14718b3d5dd7bd6b45bee832c78","HASH COINCIDE; REVISION PENDIENTE","Microsoft.Data.SqlClient/7.0.2:lib/net9.0/fr/Microsoft.Data.SqlClient.resources.dll"
"hostfxr.dll","379688","838591885c5396fb0588a3aedc2f3e841d3afc67570868b1bce615264005a44c","HASH COINCIDE; REVISION PENDIENTE","Microsoft.NETCore.App.Runtime.win-x64/10.0.12:runtimes/win-x64/native/hostfxr.dll"
"hostpolicy.dll","378664","e92a2e71eeeaf7c574e905935b3e3724ef29bade44317659dbe06f505e99dbe0","HASH COINCIDE; REVISION PENDIENTE","Microsoft.NETCore.App.Runtime.win-x64/10.0.12:runtimes/win-x64/native/hostpolicy.dll"
"it/Microsoft.Data.SqlClient.resources.dll","263064","8dd4bc68484de5eec1002888a81d752b019e61b732cd42fe3be1ebeea8b230f9","HASH COINCIDE; REVISION PENDIENTE","Microsoft.Data.SqlClient/7.0.2:lib/net9.0/it/Microsoft.Data.SqlClient.resources.dll"
"ja/Microsoft.Data.SqlClient.resources.dll","292760","c2829f13f0dd96b931c35726aa18d67a93a3dbacec2b13dbe0e2e3b9b1edcaca","HASH COINCIDE; REVISION PENDIENTE","Microsoft.Data.SqlClient/7.0.2:lib/net9.0/ja/Microsoft.Data.SqlClient.resources.dll"
"ko/Microsoft.Data.SqlClient.resources.dll","270744","779bbb4d722c966e85861c15e5ed7ed0e2ba94e8e075676b22c437c99af070aa","HASH COINCIDE; REVISION PENDIENTE","Microsoft.Data.SqlClient/7.0.2:lib/net9.0/ko/Microsoft.Data.SqlClient.resources.dll"
"LICENSE-Druse.txt","35149","3972dc9744f6499f0f9b2dbf76696f2ae7ad8af9b23dde66d6af86c9dfb36986","SIN ATRIBUCION NUGET",""
"Microsoft.AspNetCore.Antiforgery.dll","120616","f417fe903c5fef3ad36cc6e9d73e5e4b9fbcb1bb855c7490aed7de60316419f0","HASH COINCIDE; REVISION PENDIENTE","Microsoft.AspNetCore.App.Runtime.win-x64/10.0.12:runtimes/win-x64/lib/net10.0/Microsoft.AspNetCore.Antiforgery.dll"
"Microsoft.AspNetCore.Authentication.Abstractions.dll","67408","62bfde62231404dc637ce47d5cec6deee338824efffa03a8dde907d8d049ad60","HASH COINCIDE; REVISION PENDIENTE","Microsoft.AspNetCore.App.Runtime.win-x64/10.0.12:runtimes/win-x64/lib/net10.0/Microsoft.AspNetCore.Authentication.Abstractions.dll"
"Microsoft.AspNetCore.Authentication.BearerToken.dll","71504","02ff8274770af515792d3cc5b129092787d9ba3b2d999ba187be9971b2b82eaa","HASH COINCIDE; REVISION PENDIENTE","Microsoft.AspNetCore.App.Runtime.win-x64/10.0.12:runtimes/win-x64/lib/net10.0/Microsoft.AspNetCore.Authentication.BearerToken.dll"
"Microsoft.AspNetCore.Authentication.Cookies.dll","116520","76bda5478425897628c1a29a22a82056fa13b6cd756a47389de9cda4fcf59a36","HASH COINCIDE; REVISION PENDIENTE","Microsoft.AspNetCore.App.Runtime.win-x64/10.0.12:runtimes/win-x64/lib/net10.0/Microsoft.AspNetCore.Authentication.Cookies.dll"
"Microsoft.AspNetCore.Authentication.Core.dll","116520","874392660a182a29ad1b5a22e9639293ac327ee9f5e989b8f5d9c87b7cd845f5","HASH COINCIDE; REVISION PENDIENTE","Microsoft.AspNetCore.App.Runtime.win-x64/10.0.12:runtimes/win-x64/lib/net10.0/Microsoft.AspNetCore.Authentication.Core.dll"
