"ecosystem","component","version","usage","complete","without_informix","license","evidence","source","decision","note"
"npm","yoctocolors","2.2.0","frontend:desarrollo","herramienta; no inferir inclusion","igual frontend; no depende del proveedor","MIT","frontend/package-lock.json:node_modules/yoctocolors","https://www.npmjs.com/package/yoctocolors/v/2.2.0","PENDIENTE REVISION","El lock incluye plataformas opcionales; no equivale al contenido distribuido."
"npm","zod-to-json-schema","3.25.2","frontend:desarrollo","herramienta; no inferir inclusion","igual frontend; no depende del proveedor","ISC","frontend/package-lock.json:node_modules/zod-to-json-schema","https://www.npmjs.com/package/zod-to-json-schema/v/3.25.2","PENDIENTE REVISION","El lock incluye plataformas opcionales; no equivale al contenido distribuido."
"npm","zod","4.4.3","frontend:grafo produccion","posible codigo en bundle","igual frontend; no depende del proveedor","MIT","frontend/package-lock.json:node_modules/zod","https://www.npmjs.com/package/zod/v/4.4.3","PENDIENTE REVISION","El lock incluye plataformas opcionales; no equivale al contenido distribuido."
"NuGet","BouncyCastle.Cryptography","2.7.0","backend/src/Druse.Host.LocalApi;backend/src/Druse.Ssh;backend/tests/Druse.IntegrationTests","grafo host","grafo host inferido","MIT","NuGet:BouncyCastle.Cryptography/2.7.0/bouncycastle.cryptography.nuspec","https://www.nuget.org/packages/BouncyCastle.Cryptography/2.7.0","PENDIENTE REVISION","Inferencia desde assets restaurados: confirmar con publicacion limpia y archivos del paquete."
"NuGet","ClosedXML.Parser","2.0.0","backend/src/Druse.Host.LocalApi;backend/src/Druse.Infrastructure;backend/tests/Druse.IntegrationTests;backend/tests/Druse.UnitTests","grafo host","grafo host inferido","MIT","NuGet:ClosedXML.Parser/2.0.0/closedxml.parser.nuspec","https://www.nuget.org/packages/ClosedXML.Parser/2.0.0","PENDIENTE REVISION","Inferencia desde assets restaurados: confirmar con publicacion limpia y archivos del paquete."
"NuGet","ClosedXML","0.105.1","backend/src/Druse.Host.LocalApi;backend/src/Druse.Infrastructure;backend/tests/Druse.IntegrationTests;backend/tests/Druse.UnitTests","grafo host","grafo host inferido","MIT","NuGet:ClosedXML/0.105.1/closedxml.nuspec","https://www.nuget.org/packages/ClosedXML/0.105.1","PENDIENTE REVISION","Inferencia desde assets restaurados: confirmar con publicacion limpia y archivos del paquete."
"NuGet","coverlet.collector","6.0.4","backend/tests/Druse.IntegrationTests;backend/tests/Druse.ProviderContractTests;backend/tests/Druse.UnitTests","build/test/runtime pack","sin inferir","MIT","NuGet:coverlet.collector/6.0.4/coverlet.collector.nuspec","https://www.nuget.org/packages/coverlet.collector/6.0.4","PENDIENTE REVISION","Inferencia desde assets restaurados: confirmar con publicacion limpia y archivos del paquete."
"NuGet","DocumentFormat.OpenXml.Framework","3.1.1","backend/src/Druse.Host.LocalApi;backend/src/Druse.Infrastructure;backend/tests/Druse.IntegrationTests;backend/tests/Druse.UnitTests","grafo host","grafo host inferido","MIT","NuGet:DocumentFormat.OpenXml.Framework/3.1.1/documentformat.openxml.framework.nuspec","https://www.nuget.org/packages/DocumentFormat.OpenXml.Framework/3.1.1","PENDIENTE REVISION","Inferencia desde assets restaurados: confirmar con publicacion limpia y archivos del paquete."
"NuGet","DocumentFormat.OpenXml","3.1.1","backend/src/Druse.Host.LocalApi;backend/src/Druse.Infrastructure;backend/tests/Druse.IntegrationTests;backend/tests/Druse.UnitTests","grafo host","grafo host inferido","MIT","NuGet:DocumentFormat.OpenXml/3.1.1/documentformat.openxml.nuspec","https://www.nuget.org/packages/DocumentFormat.OpenXml/3.1.1","PENDIENTE REVISION","Inferencia desde assets restaurados: confirmar con publicacion limpia y archivos del paquete."
"NuGet","ExcelNumberFormat","1.1.0","backend/src/Druse.Host.LocalApi;backend/src/Druse.Infrastructure;backend/tests/Druse.IntegrationTests;backend/tests/Druse.UnitTests","grafo host","grafo host inferido","MIT","NuGet:ExcelNumberFormat/1.1.0/excelnumberformat.nuspec","https://www.nuget.org/packages/ExcelNumberFormat/1.1.0","PENDIENTE REVISION","Inferencia desde assets restaurados: confirmar con publicacion limpia y archivos del paquete."
